Name of the table	ORPHA number	Disease label	MIM code
PatRef	908	Fragile X syndrome	300624
PatRef	908	Fragile X syndrome	309550
PatRef	652	Multiple endocrine neoplasia type 1	131100
PatRef	652	Multiple endocrine neoplasia type 1	610755
PatRef	790	Retinoblastoma	180200
PatRef	534	Lowe syndrome	309000
PatRef	536	Systemic lupus erythematosus	152700
PatRef	536	Systemic lupus erythematosus	300809
PatRef	536	Systemic lupus erythematosus	601744
PatRef	536	Systemic lupus erythematosus	605218
PatRef	536	Systemic lupus erythematosus	605480
PatRef	536	Systemic lupus erythematosus	607279
PatRef	536	Systemic lupus erythematosus	607965
PatRef	536	Systemic lupus erythematosus	607966
PatRef	536	Systemic lupus erythematosus	607967
PatRef	536	Systemic lupus erythematosus	608437
PatRef	536	Systemic lupus erythematosus	609903
PatRef	536	Systemic lupus erythematosus	609939
PatRef	536	Systemic lupus erythematosus	610065
PatRef	536	Systemic lupus erythematosus	610066
PatRef	536	Systemic lupus erythematosus	610927
PatRef	536	Systemic lupus erythematosus	612251
PatRef	536	Systemic lupus erythematosus	612253
PatRef	536	Systemic lupus erythematosus	612254
PatRef	536	Systemic lupus erythematosus	612378
PatRef	536	Systemic lupus erythematosus	613145
PatRef	232	Sickle cell anemia	603903
PatRef	567	Monosomy 22q11	188400
PatRef	567	Monosomy 22q11	192430
PatRef	567	Monosomy 22q11	274210
PatRef	580	Mucopolysaccharidosis type 2	309900
PatRef	579	Mucopolysaccharidosis type 1	607014
PatRef	579	Mucopolysaccharidosis type 1	607015
PatRef	579	Mucopolysaccharidosis type 1	607016
PatRef	905	Wilson disease	277900
PatRef	3099	Rheumatic fever	268240
PatRef	739	Prader-Willi syndrome	176270
PatRef	739	Prader-Willi syndrome	601491
PatRef	47	X-linked agammaglobulinemia	300310
PatRef	47	X-linked agammaglobulinemia	300755
PatRef	906	Wiskott-Aldrich syndrome	277970
PatRef	906	Wiskott-Aldrich syndrome	301000
PatRef	906	Wiskott-Aldrich syndrome	600903
PatRef	904	Williams syndrome	194050
PatRef	280	Wolf-Hirschhorn syndrome	194190
PatRef	15	Achondroplasia	100800
PatRef	96	Friedreich-like ataxia with selective vitamin E deficiency	277460
PatRef	101	Dentatorubral pallidoluysian atrophy	125370
PatRef	783	Rubinstein-Taybi syndrome	180849
PatRef	783	Rubinstein-Taybi syndrome	610543
PatRef	792	X-linked retinoschisis	268080
PatRef	792	X-linked retinoschisis	312700
PatRef	383	Gusher syndrome	304400
PatRef	827	Stargardt disease	248200
PatRef	827	Stargardt disease	600110
PatRef	827	Stargardt disease	603786
PatRef	437	Vitamin D resistant rickets	193100
PatRef	437	Vitamin D resistant rickets	241520
PatRef	437	Vitamin D resistant rickets	264700
PatRef	437	Vitamin D resistant rickets	277440
PatRef	437	Vitamin D resistant rickets	307800
PatRef	437	Vitamin D resistant rickets	600081
PatRef	437	Vitamin D resistant rickets	600785
PatRef	429	Hypochondroplasia	146000
PatRef	436	Hypophosphatasia	146300
PatRef	436	Hypophosphatasia	171760
PatRef	436	Hypophosphatasia	241500
PatRef	436	Hypophosphatasia	241510
PatRef	2182	Hydrocephalus due to stenosis of aqueduct of Sylvius	236635
PatRef	2182	Hydrocephalus due to stenosis of aqueduct of Sylvius	307000
PatRef	104	Leber hereditary optic neuropathy	308905
PatRef	104	Leber hereditary optic neuropathy	500001
PatRef	104	Leber hereditary optic neuropathy	535000
PatRef	664	Ornithine carbamoyltransferase deficiency	311250
PatRef	481	Kennedy disease	313200
PatRef	631	Nonacquired isolated growth hormone deficiency	173100
PatRef	631	Nonacquired isolated growth hormone deficiency	262400
PatRef	631	Nonacquired isolated growth hormone deficiency	612781
PatRef	508	Leprechaunism	246200
PatRef	394	Homocystinuria due to cystathionine beta-synthase deficiency	236200
PatRef	379	Chronic granulomatous disease	233690
PatRef	379	Chronic granulomatous disease	233700
PatRef	379	Chronic granulomatous disease	233710
PatRef	379	Chronic granulomatous disease	306400
PatRef	16	Blue cone monochromatism	303700
PatRef	181	Christ-Siemens-Touraine syndrome	305100
PatRef	644	NARP/MILS syndrome	551500
PatRef	637	Neurofibromatosis type 2	101000
PatRef	636	Neurofibromatosis type 1	162200
PatRef	636	Neurofibromatosis type 1	162210
PatRef	649	Norrie disease	310600
PatRef	640	Hereditary neuropathy with liability to pressure palsies	162500
PatRef	699	Pearson syndrome	557000
PatRef	60	Alpha-1 antitrypsin deficiency	107400
PatRef	524	Li-Fraumeni syndrome	151623
PatRef	524	Li-Fraumeni syndrome	609265
PatRef	524	Li-Fraumeni syndrome	609266
PatRef	510	Lesch-Nyhan syndrome	300322
PatRef	510	Lesch-Nyhan syndrome	308950
PatRef	281	Monosomy 5p	123450
PatRef	214	Cystinuria	220100
PatRef	752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	264300
PatRef	3444	Watson syndrome	193520
PatRef	337	Fibrodysplasia ossificans progressiva	135100
PatRef	648	Noonan syndrome	163950
PatRef	648	Noonan syndrome	163955
PatRef	648	Noonan syndrome	605275
PatRef	648	Noonan syndrome	609942
PatRef	648	Noonan syndrome	610733
PatRef	648	Noonan syndrome	611553
PatRef	648	Noonan syndrome	613224
PatRef	377	Gorlin syndrome	109400
PatRef	706	Patent arterial duct	607411
PatRef	628	Diastrophic dwarfism	222600
PatRef	673	Malaria	248310
PatRef	681	Hypokalemic periodic paralysis	170400
PatRef	681	Hypokalemic periodic paralysis	613345
PatRef	682	Hyperkalemic periodic paralysis	170500
PatRef	800	Schwartz-Jampel syndrome	255800
PatRef	3140	Schizophrenia	181500
PatRef	3140	Schizophrenia	181510
PatRef	3140	Schizophrenia	600511
PatRef	3140	Schizophrenia	600850
PatRef	3140	Schizophrenia	603013
PatRef	3140	Schizophrenia	603175
PatRef	3140	Schizophrenia	603176
PatRef	3140	Schizophrenia	603206
PatRef	3140	Schizophrenia	603342
PatRef	3140	Schizophrenia	604906
PatRef	3140	Schizophrenia	605210
PatRef	3140	Schizophrenia	605419
PatRef	3140	Schizophrenia	608078
PatRef	3140	Schizophrenia	608543
PatRef	3140	Schizophrenia	612361
PatRef	3140	Schizophrenia	613025
PatRef	857	Townes-Brocks syndrome	107480
PatRef	894	Waardenburg syndrome type 1	193500
PatRef	895	Waardenburg syndrome type 2	193510
PatRef	895	Waardenburg syndrome type 2	600193
PatRef	895	Waardenburg syndrome type 2	606662
PatRef	895	Waardenburg syndrome type 2	608890
PatRef	895	Waardenburg syndrome type 2	611584
PatRef	896	Waardenburg syndrome type 3	148820
PatRef	912	Zellweger syndrome	170993
PatRef	912	Zellweger syndrome	170995
PatRef	912	Zellweger syndrome	214100
PatRef	912	Zellweger syndrome	214110
PatRef	893	WAGR syndrome	194072
PatRef	893	WAGR syndrome	612469
PatRef	862	Hereditary essential tremor	190300
PatRef	862	Hereditary essential tremor	602134
PatRef	862	Hereditary essential tremor	611456
PatRef	2869	Peutz-Jeghers syndrome	175200
PatRef	710	Pfeiffer syndrome	101600
PatRef	794	Saethre-Chotzen syndrome	101400
PatRef	774	Rendu-Osler-Weber disease	187300
PatRef	774	Rendu-Osler-Weber disease	600376
PatRef	774	Rendu-Osler-Weber disease	601101
PatRef	774	Rendu-Osler-Weber disease	610655
PatRef	107	BOR syndrome	113650
PatRef	107	BOR syndrome	610896
PatRef	126	Blepharophimosis - epicanthus inversus - ptosis	110100
PatRef	192	Coffin-Lowry syndrome	303600
PatRef	205	Crigler-Najjar syndrome	218800
PatRef	205	Crigler-Najjar syndrome	606785
PatRef	201	Cowden syndrome	158350
PatRef	201	Cowden syndrome	612359
PatRef	207	Crouzon disease	123500
PatRef	195	Cat-eye syndrome	115470
PatRef	167	Chediak-Higashi syndrome	214500
PatRef	14	Abetalipoproteinemia	200100
PatRef	52	Alagille syndrome	118450
PatRef	52	Alagille syndrome	610205
PatRef	50	Aicardi syndrome	304050
PatRef	53	Albers-Schönberg osteopetrosis	166600
PatRef	1646	Partial chromosome Y deletion	400003
PatRef	1646	Partial chromosome Y deletion	400042
PatRef	1646	Partial chromosome Y deletion	415000
PatRef	1247	Schistosomiasis	181460
PatRef	112	Bartter syndrome	241200
PatRef	112	Bartter syndrome	601678
PatRef	112	Bartter syndrome	602522
PatRef	112	Bartter syndrome	607364
PatRef	116	Beckwith-Wiedemann syndrome	130650
PatRef	87	Apert syndrome	101200
PatRef	97	Familial paroxysmal ataxia	108500
PatRef	313	Lamellar ichthyosis	146750
PatRef	313	Lamellar ichthyosis	242300
PatRef	313	Lamellar ichthyosis	601277
PatRef	313	Lamellar ichthyosis	604777
PatRef	313	Lamellar ichthyosis	606545
PatRef	406	Familial hypercholesterolemia	143890
PatRef	406	Familial hypercholesterolemia	144010
PatRef	406	Familial hypercholesterolemia	602247
PatRef	406	Familial hypercholesterolemia	603776
PatRef	406	Familial hypercholesterolemia	603813
PatRef	89	Familial defective apolipoprotein B-100	107730
PatRef	2442	X-linked lymphoproliferative disease	300635
PatRef	2442	X-linked lymphoproliferative disease	308240
PatRef	555	Celiac disease	212750
PatRef	555	Celiac disease	607202
PatRef	555	Celiac disease	609753
PatRef	555	Celiac disease	609754
PatRef	555	Celiac disease	609755
PatRef	555	Celiac disease	611598
PatRef	555	Celiac disease	612005
PatRef	555	Celiac disease	612006
PatRef	555	Celiac disease	612007
PatRef	555	Celiac disease	612008
PatRef	555	Celiac disease	612009
PatRef	555	Celiac disease	612010
PatRef	555	Celiac disease	612011
PatRef	565	Menkes disease	309400
PatRef	562	McCune-Albright syndrome	174800
PatRef	564	Meckel syndrome	249000
PatRef	564	Meckel syndrome	603194
PatRef	564	Meckel syndrome	607361
PatRef	564	Meckel syndrome	611134
PatRef	564	Meckel syndrome	611561
PatRef	564	Meckel syndrome	612284
PatRef	568	Microphthalmia, Lenz type	309800
PatRef	540	Familial hemophagocytic lymphohistiocytosis	267700
PatRef	540	Familial hemophagocytic lymphohistiocytosis	603552
PatRef	540	Familial hemophagocytic lymphohistiocytosis	603553
PatRef	540	Familial hemophagocytic lymphohistiocytosis	608898
PatRef	540	Familial hemophagocytic lymphohistiocytosis	613101
PatRef	474	Jeune syndrome	208500
PatRef	474	Jeune syndrome	611263
PatRef	474	Jeune syndrome	613091
PatRef	258	Congenital muscular dystrophy type 1A	607855
PatRef	289	Ellis Van Creveld syndrome	225500
PatRef	357	Gilbert syndrome	143500
PatRef	861	Treacher-Collins syndrome	154500
PatRef	861	Treacher-Collins syndrome	248390
PatRef	308	Unverricht-Lundborg disease	254800
PatRef	308	Unverricht-Lundborg disease	612437
PatRef	1991	Cleft lip with or without cleft palate	119530
PatRef	1991	Cleft lip with or without cleft palate	600625
PatRef	1991	Cleft lip with or without cleft palate	600757
PatRef	1991	Cleft lip with or without cleft palate	602966
PatRef	1991	Cleft lip with or without cleft palate	608371
PatRef	1991	Cleft lip with or without cleft palate	608864
PatRef	1991	Cleft lip with or without cleft palate	608874
PatRef	1991	Cleft lip with or without cleft palate	610361
PatRef	1991	Cleft lip with or without cleft palate	612858
PatRef	199	Cornelia de Lange syndrome	122470
PatRef	199	Cornelia de Lange syndrome	300590
PatRef	199	Cornelia de Lange syndrome	610759
PatRef	2162	Holoprosencephaly	142945
PatRef	2162	Holoprosencephaly	142946
PatRef	2162	Holoprosencephaly	157170
PatRef	2162	Holoprosencephaly	236100
PatRef	2162	Holoprosencephaly	601309
PatRef	2162	Holoprosencephaly	605934
PatRef	2162	Holoprosencephaly	609408
PatRef	2162	Holoprosencephaly	609637
PatRef	2162	Holoprosencephaly	610828
PatRef	2162	Holoprosencephaly	610829
PatRef	2162	Holoprosencephaly	612530
PatRef	930	Primary achalasia	200400
PatRef	998	Albinism-deafness syndrome	300700
PatRef	999	Ermine phenotype	227010
PatRef	1000	Ocular albinism - late-onset sensorineural deafness	103470
PatRef	1000	Ocular albinism - late-onset sensorineural deafness	300650
PatRef	55	Oculocutaneous albinism	203100
PatRef	55	Oculocutaneous albinism	203200
PatRef	55	Oculocutaneous albinism	203290
PatRef	55	Oculocutaneous albinism	606574
PatRef	55	Oculocutaneous albinism	606952
PatRef	106	Autism	209850
PatRef	106	Autism	300425
PatRef	106	Autism	300495
PatRef	106	Autism	300496
PatRef	106	Autism	606053
PatRef	106	Autism	607373
PatRef	106	Autism	608049
PatRef	106	Autism	608636
PatRef	106	Autism	609378
PatRef	106	Autism	610676
PatRef	106	Autism	610836
PatRef	106	Autism	610838
PatRef	106	Autism	610908
PatRef	106	Autism	611015
PatRef	106	Autism	611016
PatRef	106	Autism	611913
PatRef	106	Autism	612100
PatRef	106	Autism	613410
PatRef	106	Autism	613436
PatRef	2771	Bruck syndrome	259450
PatRef	2771	Bruck syndrome	609220
PatRef	1349	Cardiomyopathy - maternally inherited deafness	590060
PatRef	1465	Coffin-Siris syndrome	135900
PatRef	218	Darier disease	124200
PatRef	753	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency	264600
PatRef	868	Triose phosphate-isomerase deficiency	190450
PatRef	1598	Monosomy 18p	146390
PatRef	1600	Distal monosomy 18q	601808
PatRef	1642	Distal monosomy 9p	154230
PatRef	1642	Distal monosomy 9p	158170
PatRef	1727	Trisomy 22q11	608363
PatRef	1947	Progressive epilepsy - intellectual deficit, Finnish type	610003
PatRef	352	Galactosemia	230200
PatRef	352	Galactosemia	230350
PatRef	352	Galactosemia	230400
PatRef	370	Glycogen storage disease due to phosphorylase kinase deficiency	261750
PatRef	370	Glycogen storage disease due to phosphorylase kinase deficiency	306000
PatRef	370	Glycogen storage disease due to phosphorylase kinase deficiency	613027
PatRef	385	Neurodegeneration with brain iron accumulation	234200
PatRef	385	Neurodegeneration with brain iron accumulation	256600
PatRef	385	Neurodegeneration with brain iron accumulation	604290
PatRef	385	Neurodegeneration with brain iron accumulation	606159
PatRef	385	Neurodegeneration with brain iron accumulation	607236
PatRef	385	Neurodegeneration with brain iron accumulation	610217
PatRef	464	Incontinentia pigmenti	308300
PatRef	3084	Mirhosseini-Holmes-Walton syndrome	268050
PatRef	596	X-linked centronuclear myopathy	300219
PatRef	596	X-linked centronuclear myopathy	310400
PatRef	610	Bethlem myopathy	158810
PatRef	2609	NADH-CoQ reductase deficiency	252010
PatRef	626	Giant pigmented hairy nevus	137550
PatRef	2772	Congenital osteogenesis imperfecta - microcephaly - cataracts	259410
PatRef	773	Refsum disease	266500
PatRef	773	Refsum disease	600964
PatRef	3085	Retinitis pigmentosa - intellectual deficit - deafness - hypogenitalism	268020
PatRef	819	Smith-Magenis syndrome	182290
PatRef	2614	Nail-patella syndrome	161200
PatRef	2614	Nail-patella syndrome	188200
PatRef	915	Aarskog-Scott syndrome	100050
PatRef	915	Aarskog-Scott syndrome	305400
PatRef	924	Acanthosis nigricans	100600
PatRef	33	Isovaleric acidemia	243500
PatRef	22	4-hydroxybutyricaciduria	271980
PatRef	29	Mevalonicaciduria	610377
PatRef	30	Hereditary orotic aciduria	258900
PatRef	30	Hereditary orotic aciduria	258920
PatRef	36	Acrocallosal syndrome, Schinzel type	200990
PatRef	245	Acrofacial dysostosis, Nager type	154400
PatRef	963	Acromegaly	102200
PatRef	44	Neonatal adrenoleukodystrophy	202370
PatRef	56	Alkaptonuria	203500
PatRef	1006	Alopecia antibody deficiency	104000
PatRef	1046	Lethal hemolytic anemia - genital anomalies	600461
PatRef	1059	Blue rubber bleb nevus	112200
PatRef	1065	Aniridia - cerebellar ataxia - intellectual deficit	206700
PatRef	90	Argininemia	207800
PatRef	1135	Arhinia - choanal atresia - microphthalmia	603457
PatRef	1143	Neurogenic arthrogryposis multiplex congenita	208100
PatRef	1146	Digitotalar dysmorphism	108120
PatRef	1146	Digitotalar dysmorphism	126050
PatRef	1147	Sheldon-Hall syndrome	601680
PatRef	1154	Arthrogryposis - ophthalmoplegia - retinopathy	108145
PatRef	1155	Arthrogryposis due to muscular dystrophy	253900
PatRef	1162	Asperger syndrome	300494
PatRef	1162	Asperger syndrome	300497
PatRef	1162	Asperger syndrome	608631
PatRef	1162	Asperger syndrome	608638
PatRef	1162	Asperger syndrome	608781
PatRef	1162	Asperger syndrome	609954
PatRef	1232	Barrett esophagus	109350
PatRef	124	Blackfan-Diamond disease	105650
PatRef	124	Blackfan-Diamond disease	606129
PatRef	124	Blackfan-Diamond disease	606164
PatRef	124	Blackfan-Diamond disease	610629
PatRef	124	Blackfan-Diamond disease	612527
PatRef	124	Blackfan-Diamond disease	612528
PatRef	124	Blackfan-Diamond disease	612561
PatRef	124	Blackfan-Diamond disease	612562
PatRef	124	Blackfan-Diamond disease	612563
PatRef	124	Blackfan-Diamond disease	613308
PatRef	124	Blackfan-Diamond disease	613309
PatRef	125	Bloom syndrome	210900
PatRef	125	Bloom syndrome	604610
PatRef	1310	Caffey disease	114000
PatRef	1334	Chronic mucocutaneous candidiasis	114580
PatRef	1334	Chronic mucocutaneous candidiasis	212050
PatRef	1334	Chronic mucocutaneous candidiasis	607644
PatRef	1334	Chronic mucocutaneous candidiasis	613108
PatRef	1369	Cataract cardiomyopathy	212350
PatRef	1414	Cholestasis - lymphedema	214900
PatRef	1452	Cleidocranial dysplasia	119600
PatRef	1452	Cleidocranial dysplasia	216330
PatRef	1455	Autosomal dominant coarctation of aorta	120000
PatRef	193	Cohen syndrome	216550
PatRef	1488	Cooper-Jabs syndrome	209770
PatRef	200	Isolated corpus callosum agenesis	217990
PatRef	1496	Corpus callosum agenesis - neuronopathy	218000
PatRef	1538	Craniosynostosis - Dandy-Walker - hydrocephalus	123155
PatRef	1556	Cutis marmorata telangiectatica congenita	219250
PatRef	217	Isolated Dandy-Walker malformation	220200
PatRef	226	Dihydropteridine reductase deficiency	261630
PatRef	45	Adenosine monophosphate deaminase deficiency	102770
PatRef	45	Adenosine monophosphate deaminase deficiency	612874
PatRef	23	Argininosuccinicaciduria	207900
PatRef	147	Carbamoylphosphate synthetase deficiency	237300
PatRef	148	Multiple carboxylase deficiency	253260
PatRef	148	Multiple carboxylase deficiency	253270
PatRef	408	Hyperglycerolemia	307030
PatRef	395	Homocystinuria due to methylenetetrahydrofolate reductase deficiency	236250
PatRef	765	Pyruvate dehydrogenase deficiency	179060
PatRef	765	Pyruvate dehydrogenase deficiency	245348
PatRef	765	Pyruvate dehydrogenase deficiency	245349
PatRef	765	Pyruvate dehydrogenase deficiency	312170
PatRef	833	Encephalopathy due to sulfite oxidase deficiency	252150
PatRef	833	Encephalopathy due to sulfite oxidase deficiency	272300
PatRef	235	Dubowitz syndrome	223370
PatRef	239	Dyggve-Melchior-Clausen disease	223800
PatRef	239	Dyggve-Melchior-Clausen disease	304950
PatRef	1764	Familial dysautonomia	223900
PatRef	1770	Gonadal dysgenesis, XY type - associated anomalies	233430
PatRef	1775	Dyskeratosis congenita	127550
PatRef	1775	Dyskeratosis congenita	224230
PatRef	1775	Dyskeratosis congenita	305000
PatRef	246	Postaxial acrofacial dysostosis	263750
PatRef	1851	Multicystic renal dysplasia	143400
PatRef	1851	Multicystic renal dysplasia	601331
PatRef	255	Dopa-responsive dystonia	128230
PatRef	255	Dopa-responsive dystonia	605407
PatRef	1880	Ebstein malformation	224700
PatRef	1885	Isolated ectopia lentis	129600
PatRef	1885	Isolated ectopia lentis	185450
PatRef	1885	Isolated ectopia lentis	225100
PatRef	1885	Isolated ectopia lentis	225200
PatRef	1933	Mitochondrial encephalomyopathy aminoacidopathy	612073
PatRef	2020	Congenital fiber-type disproportion myopathy	255310
PatRef	2020	Congenital fiber-type disproportion myopathy	300580
PatRef	2053	Freeman-Sheldon syndrome	193700
PatRef	2053	Freeman-Sheldon syndrome	277720
PatRef	351	Galactosialidosis	256540
PatRef	374	Goldenhar syndrome	164210
PatRef	2113	Congenital hypothalamic hamartoma syndrome	241800
PatRef	2116	Hartnup syndrome	234500
PatRef	2118	Hawkinsinuria	140350
PatRef	446	Neonatal hemochromatosis	231100
PatRef	2135	Hennekam-Beemer syndrome	248910
PatRef	2140	Congenital diaphragmatic hernia	142340
PatRef	2140	Congenital diaphragmatic hernia	222400
PatRef	2140	Congenital diaphragmatic hernia	306950
PatRef	2140	Congenital diaphragmatic hernia	610187
PatRef	2185	Autosomal recessive hydrocephalus	236600
PatRef	417	Neonatal severe primary hyperparathyroidism	239200
PatRef	2248	Hypoplastic left heart syndrome	241550
PatRef	2253	Foveal hypoplasia - presenile cataract	136520
PatRef	2270	Ichthyosis congenita - biliary atresia	242400
PatRef	2300	Intestinal atresia multiple	243150
PatRef	469	Fructose intolerance	229600
PatRef	2308	Jacobsen syndrome	147791
PatRef	2318	Joubert syndrome with oculorenal defect	243910
PatRef	2318	Joubert syndrome with oculorenal defect	608091
PatRef	2318	Joubert syndrome with oculorenal defect	610188
PatRef	477	KID syndrome	148210
PatRef	477	KID syndrome	242150
PatRef	477	KID syndrome	602540
PatRef	2343	Isolated cloverleaf skull syndrome	148800
PatRef	2346	Angio-osteohypertrophic syndrome	149000
PatRef	2346	Angio-osteohypertrophic syndrome	608355
PatRef	502	Langer-Giedion syndrome	150230
PatRef	2370	Larsen-like osseous dysplasia - short stature	608545
PatRef	2373	Congenital laryngomalacia	150280
PatRef	2374	Congenital laryngeal web	150360
PatRef	2374	Congenital laryngeal web	185400
PatRef	2377	Laurence-Moon syndrome	245800
PatRef	506	Leigh syndrome	161700
PatRef	506	Leigh syndrome	256000
PatRef	506	Leigh syndrome	266150
PatRef	506	Leigh syndrome	308930
PatRef	2414	Congenital pulmonary lymphangiectasia	265300
PatRef	2430	Congenital macroglossia	153630
