Name of the table	ORPHA number	Disease label	Source	Reference
PatRef	365	Glycogen storage disease type 2	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=glycogen+storage+disease+type+ii%5Bmh%5D+OR+Glycogen+Storage+Disease+Type+II%5Btw%5D+OR+Glycogen+Storage+Disease+Type+IIa%5Btw%5D
PatRef	366	Glycogen storage disease type 3	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22glycogen+storage+disease+type+iii%22%5BMeSH+Terms%5D+OR+Glycogen+Storage+Disease+Type+III%5BText+Word%5D
PatRef	367	Glycogen storage disease type 4	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=glycogen+storage+disease+type+iv%5Bmajr%5D
PatRef	368	Glycogen storage disease type 5	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=glycogen+storage+disease+type+v%5Bmajr%5D
PatRef	369	Glycogen storage disease due to liver phosphorylase deficiency	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=glycogen+storage+disease+type+vi+OR+(glycogen+storage+disease+(vi%5BTw%5D+OR+vib%5Btw%5D+OR+(Glycogen+Phosphorylase,+Liver+Form)+deficiency))
PatRef	371	Glycogen storage disease type 7	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=glycogen+storage+disease+type+vii%5Bmajr%5D
PatRef	447	Paroxysmal nocturnal hemoglobinuria	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=hemoglobinuria%2C+paroxysmal%5Bmh%5D+OR+Paroxysmal+nocturnal+hemoglobinuria%5BTi%5D+OR+paroxysmal+hemoglobinuria%5Bti%5D
PatRef	487	Krabbe disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22globoid+cell+leukodystrophy%22%5BText+Word%5D+OR+Krabbe+disease%5BText+Word%5D+OR+%22leukodystrophy%2C+globoid+cell%22%5BMeSH+Terms%5D
PatRef	535	Cutaneous lupus erythematosus	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22lupus+erythematosus%2C+cutaneous%22%5BMeSH+Terms%5D+OR+%28Cutaneous+lupus+erythematosus%5BText+Word%5D+NOT+medline%5BSB%5D%29
PatRef	583	Mucopolysaccharidosis type 6	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=mucopolysaccharidosis+vi%5Bmajr%5D
PatRef	812	Sialidosis type 1	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=sialidosis%5Btw%5D+(type+1%5Btw%5D+OR+type+i%5Btw%5D+OR+sialidosis+i%5Btw%5D)
PatRef	576	Mucolipidosis type 2	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=(mucolipidosis+ii%5Btw%5D+OR+MLii%5Btw%5D+OR+i-cell%5Btw%5D+OR+type+2%5Bti%5D)+(mucolipidoses%5Bmh%5D+OR+mucolipidosis%5Bti%5D)
PatRef	577	Mucolipidosis type 3	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=(mucolipidosis%5Bti%5D+OR+mucolipidosis%5Bmajr%5D)+(%22mucolipidosis+iii%22+OR+%22MLiii%22+OR+type+iii%5Bti%5D+OR+type+3%5Bti%5D)
PatRef	578	Mucolipidosis type 4	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=(mucolipidoses%5Bmh%5D+OR+mucolipidosis%5Bti%5D)+(MLIV%5Btw%5D+OR+type+4%5Btw%5D+OR+4%5Bti%5D)+OR+%22mucolipidosis+iv%22
PatRef	645	Niemann-Pick disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Niemann+Pick+Disease%5Bmh%3Anoexp%5D+OR+Niemann+Pick%5Bti%5D+NOT+(Niemann+Pick+C*%5Bti%5D+OR+type+c*%5Bti%5D+OR+type+B%5Bti%5D+OR+%22Niemann+Pick+A%22+OR+type+A%5Bti%5D)
PatRef	2912	Poliomyelitis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Poliomyelitis%5Bmajr%5D+OR+Poliomyelitis%5Bti%5D
PatRef	771	Ulcerative colitis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22colitis%2C+ulcerative%22%5Bmajr%5D+OR+Ulcerative+colitis%5BTi%5D
PatRef	796	Sandhoff disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22sandhoff+disease%22%5BMH%5D+OR+Sandhoff%5BTi%5D
PatRef	801	Scleroderma	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=crest+syndrome%5Bmajr%5D+OR+scleroderma,+systemic%5Bmajr%5D
PatRef	584	Mucopolysaccharidosis type 7	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=mucopolysaccharidosis+vii%5Bmajr%5D
PatRef	825	Ankylosing spondylitis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=spondylitis,ankylosing%5Bmajr%5D
PatRef	461	X-linked ichthyosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22x-linked+ichthyosis%22%5BText+Word%5D+OR+%22ichthyosis%2C+x-linked%22%5BMeSH+Terms%5D
PatRef	856	Tourette syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22tourette+syndrome%22%5BMeSH+Terms%5D+OR+%28tourette+syndrome%5Bti%5D+NOT+medline%5Bsb%5D%29
PatRef	881	Turner syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22turner+syndrome%22%5BMeSH+Terms%5D+OR+%28Turner+Syndrome%5BTi%5D+NOT+medline%5Bsb%5D%29
PatRef	95	Friedreich ataxia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22friedreich+ataxia%22%5BMeSH+Terms%5D+OR+Friedreich+ataxia%5BText+Word%5D
PatRef	586	Cystic fibrosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22cystic+fibrosis%22%5BMeSH+Terms%5D+OR+%28%28Cystic+fibrosis%5BText+Word%5D+OR+mucoviscidosis%5BTW%5D%29+NOT+medline%5BSB%5D%29
PatRef	846	Alpha-thalassemia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=alpha-thalassemia%5Bmajr%5D
PatRef	848	Beta-thalassemia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=beta+thalass*%5Bti%5D+OR+beta-thalassemia%5Bmh%5D
PatRef	262	Duchenne and Becker muscular dystrophy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=muscular+dystrophy%5Bmajr%5D+AND+%28duchenne%5Btw%5D+OR+becker%5Btw%5D%29
PatRef	261	Emery-Dreifuss muscular dystrophy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=emery+dreifuss%5Bti%5D+OR+muscular+dystrophy%2C+emery-dreifuss
PatRef	480	Kearns-Sayre syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=kearns+sayer+syndrome+OR+Kearns+Sayre+syndrome%5Btw%5D
PatRef	269	Facioscapulohumeral myopathy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22muscular+dystrophy%2C+facioscapulohumeral%22%5BMeSH+Terms%5D+OR+Facioscapulohumeral+muscular+dystrophy%5BText+Word%5D
PatRef	550	MELAS syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22melas+syndrome%22%5BMeSH+Terms%5D+OR+%28MELAS%5BText+Word%5D+NOT+medline%5Bsb%5D%29
PatRef	551	MERRF syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22merrf+syndrome%22%5BMH%5D+OR+%28MERRF+syndrome%5BTW%5D+NOT+medline%5Bsb%5D%29
PatRef	597	Central core disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22central+core+myopathy%22%5Bti%5D+OR+%22myopathy%2C+central+core%22%5BMeSH+Terms%5D+OR+Central+core+disease%5BTi%5D
PatRef	607	Nemaline myopathy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22nemaline+myopathies%22%5BTi%5D+OR+Nemaline+myopathy%5BTi%5D+OR+%22myopathies%2C+nemaline%22%5BMH%5D
PatRef	593	Myofibrillary myopathy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=desmin+%28muscular+diseases%5Bti%5D+OR+muscular+diseases%5Bmh%5D+OR+myopathy%5Btw%5D%29
PatRef	614	Thomsen and Becker disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=myotonia+congenita%5Bmh%5D+OR+Thomsen+Dis*%5Bti%5D+OR+Thomsen%27s+Dis*%5Bti%5D+OR+myotonia+congenita%5Bti%5D
PatRef	684	Paramyotonia congenita of Von Eulenburg	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28%22myotonic+disorders%22%5BMH%5D+OR+Paramyotonia+congenita%5BTW%5D%29+AND+eulenburg%5Btw%5D
PatRef	273	Steinert myotonic dystrophy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22myotonic+dystrophy%22%5BMeSH+Terms%5D+OR+myotonic+dystrophy%5BTi%5D+OR+myotonic+dystrophies%5Bti%5D+OR+steinert+syndrome%5BTi%5D
PatRef	72	Angelman syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Angelman+syndrome%5BTI%5D+OR+%22angelman+syndrome%22%5BMeSH+Terms%5D
PatRef	778	Rett syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22rett+syndrome%22%5BMH%5D+OR+%28Rett+syndrome%5BTW%5D+NOT+medline%5Bsb%5D%29
PatRef	324	Fabry disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22fabry+disease%22%5BMeSH+Terms%5D+OR+Fabry+disease%5BTi%5D
PatRef	731	Autosomal recessive polycystic kidney disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=kidney,+polycystic,+autosomal+recessive%5Bmajr%5D
PatRef	892	Von Hippel-Lindau disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28%28%22hippel-lindau+disease%22%5BTIAB%5D+OR+Von+Hippel-Lindau%5BTW%5D%29+NOT+Medline%5BSB%5D%29+OR+%22hippel-lindau+disease%22%5BMeSH+Terms%5D
PatRef	1941	Juvenile absence epilepsy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22absence+epilepsy%22%5BText+Word%5D+OR+%22epilepsy%2C+absence%22%5BMeSH+Terms%5D
PatRef	307	Juvenile myoclonic epilepsy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Myoclonic+Epilepsy%2C+Juvenile%5Bmh%5D+OR+%28juvenile%5Bti%5D+AND+myoclonic+epilepsy%5Bti%5D%29
PatRef	100	Ataxia-telangiectasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=ataxia+telangiectasia%5Bmajr%5D
PatRef	733	Familial adenomatous polyposis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=adenomatous+polyposis+coli+(humans+OR+patient)+OR+Turcot+syndrome%5Btw%5D
PatRef	803	Amyotrophic lateral sclerosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Amyotrophic+lateral+sclerosis%5BTI%5D+OR+%22Amyotrophic+lateral+sclerosis%22%5BMH%5D
PatRef	802	Multiple sclerosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22multiple+sclerosis%22%5BMeSH+Terms%5D+OR+%28%28Multiple+Sclerosis%5BTi%5D+OR+autoimmune+encephalomyelitis%5Bti%5D%29+NOT+medline%5Bsb%5D%29
PatRef	558	Marfan syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22marfan+syndrome%22%5BMeSH+Terms%5D+OR+Marfan+syndrome%5BText+Word%5D
PatRef	138	CHARGE syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=charge+association%5Btw%5D
PatRef	512	Metachromatic leukodystrophy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=leukodystrophy,+metachromatic+(humans+OR+patients+OR+human%5Btw%5D)
PatRef	870	Trisomy 21	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28%28%22down+syndrome%22%5BTI%5D+OR+Trisomy+21%5BTi%5D+OR+21+Trisomy%5BTi%5D%29+NOT+Medline%5BSB%5D%29+OR+%22down+syndrome%22%5BMajr%5D
PatRef	501	Lafora disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=lafora+disease%5Bmh%5D+OR+Lafora+disease%5Bti%5D+OR+%28epilepsy%5Bti%5D+AND+progressive+myoclonic%5Bti%5D%29
PatRef	399	Huntington disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=huntington%27s+disease%5Bmajr%5D
PatRef	908	Fragile X syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22fragile+x+syndrome%22%5BMeSH+Terms%5D+OR+Fragile+X+syndrome%5BText+Word%5D
PatRef	652	Multiple endocrine neoplasia type 1	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=multiple+endocrine+neoplasia+type+1%5Bmh%5D+OR+men1%5Bti%5D+OR+Multiple+endocrine+neoplasia+type+1%5Btw%5D
PatRef	790	Retinoblastoma	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22retinoblastoma%22%5BMeSH+Terms%5D+OR+%28Retinoblastoma%5BTi%5D+NOT+medline%5Bsb%5D%29
PatRef	534	Lowe syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28%22oculocerebrorenal+syndrome%22%5BTIAB%5D+NOT+Medline%5BSB%5D%29+OR+%22oculocerebrorenal+syndrome%22%5BMeSH+Terms%5D+OR+Lowe+syndrome%5BText+Word%5D
PatRef	536	Systemic lupus erythematosus	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=systemic+lupus+erythematosus%5Bti%5D+OR+lupus+erythematosus,+systemic%5Bmajr%5D
PatRef	232	Sickle cell anemia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22anemia%2C+sickle+cell%22%5BMH%5D+OR+%28%28sickle+cell+anemia%5BTW%5D+OR+sickle+cell+anaemia%5BTW%5D%29+NOT+medline%5Bsb%5D%29
PatRef	567	Monosomy 22q11	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=(monosomy%5Bti%5D+22q11%5Bti%5D)+OR+del22q11%5Btw%5D+OR+deletion+22q11%5Btw%5D+OR+22q11+deletion%5Btw%5D+OR+digeorge+syndrome%5Bmh%5D
PatRef	580	Mucopolysaccharidosis type 2	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=mucopolysaccharidosis+ii%5Btw%5D+OR+hunter+dis*%5Bti%5D+OR+hunter+synd*%5Bti%5D+OR+mucopolysaccharidosis+ii%5Bmh%5D
PatRef	579	Mucopolysaccharidosis type 1	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28mucopolysaccharidosis+i%5Btw%5D+NOT+medline%5Bsb%5D%29+OR+%22mucopolysaccharidosis+i%22%5BMeSH+Terms%5D
PatRef	905	Wilson disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=hepatolenticular+degeneration%5Bmh%5D+OR+hepatolenticular+degener*%5Bti%5D+OR+Wilson+Dis*%5Bti%5D+OR+Westphal+Strump*%5Bti%5D+OR+Wilson%27s+Dis*%5Bti%5D
PatRef	3099	Rheumatic fever	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Rheumatic+fever%5Bti%5D+OR+Rheumatic+fever%5Bmajr%5D
PatRef	739	Prader-Willi syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28%28snrpn%5Bti%5D+OR+%22prader-willi+syndrome%22%5BTi%5D%29+NOT+Medline%5BSB%5D%29+OR+%22prader-willi+syndrome%22%5BMeSH+Terms%5D
PatRef	47	X-linked agammaglobulinemia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=X+linked%5Btw%5D+AND+%28agammaglobulinemia%5Btw%5D+OR+agammaglobulinaemia%5Btw%5D+OR+agammaglobulinemia%5Bmh%5D%29
PatRef	906	Wiskott-Aldrich syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28%22wiskott-aldrich+syndrome%22%5BTw%5D+NOT+Medline%5BSB%5D%29+OR+%22wiskott-aldrich+syndrome%22%5BMH%5D
PatRef	904	Williams syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22williams+syndrome%22%5BMeSH+Terms%5D+OR+%28Williams+syndrome%5BText+Word%5D+NOT+medline%5Bsb%5D%29
PatRef	280	Wolf-Hirschhorn syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=Deletion%5Bti%5D+4p%5Bti%5D+OR+4p+syndrome%5Btw%5D+OR+wolf+hirschhorn%5Btw%5D+OR+(chromosome+deletion%5Bmh%5D+chromosome+4%5Bmh%5D)
PatRef	15	Achondroplasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22Achondroplasia%22%5BMeSH+Major+Topic%5D+AND+%22humans%22%5BMeSH+Terms%5D
PatRef	96	Friedreich-like ataxia with selective vitamin E deficiency	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28Friedreich%5Btw%5D+OR+Friedreich%27s%5Btw%5D+OR+cerebellar+Ataxia%5Ball%5D%29+AND+%28vitamin+e+deficiency%5Bmh%5D+OR+vitamin+e+deficiency%5Bti%5D%29
PatRef	101	Dentatorubral pallidoluysian atrophy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=myoclonic+epilepsies%2C+progressive%5Bmh%3Anoexp%5D+OR+Dentatorubral+pallidoluysian+atrophy%5Btw%5D+OR+progressive+myoclonic+epilepsies%5Btw%5D
PatRef	783	Rubinstein-Taybi syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=rubinstein+taybi+syndrome%5Bti%5D+OR+rubinstein+taybi+syndrome%5Bmh%5D
PatRef	792	X-linked retinoschisis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28%22retinoschisis%22%5BMeSH+Terms%5D+OR+Retinoschisis%5BTW%5D%29+AND+X-linked%5Btw%5D
PatRef	383	Gusher syndrome	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28mixed+deafness%5Bti%5D+OR+hearing+loss%2C+sensorineural%5BMh%5D%29+%28pou3f4%5Btw%5D+OR+dfn3%5Btw%5D+OR+gusher*%5Btw%5D%29
PatRef	827	Stargardt disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Stargardt%5Btw%5D+AND+%28%22disease%22%5BMeSH+Terms%5D+OR+disease%5BText+Word%5D+OR+%22syndrome%22%5BMeSH+Terms%5D+OR+syndrome%5BText+Word%5D%29
PatRef	437	Vitamin D resistant rickets	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Vitamin+D+resistant+rickets%5BTW%5D+OR+%28familial+hypophosphatemia%5Bti%5D+OR+hypophosphatemia%2C+familial%5BMH%5D%29+AND+rickets%5BTW%5D
PatRef	429	Hypochondroplasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28%22achondroplasia%22%5BMeSH+Major+Topic%5D+OR+%22osteochondrodysplasias%22%5BMeSH+Major+Topic%5D%29+AND+hypochondroplasia%5Btw%5D
PatRef	436	Hypophosphatasia	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22hypophosphatasia%22%5BMeSH+Terms%5D+OR+%28Hypophosphatasia%5BText+Word%5D+NOT+medline%5Bsb%5D%29
PatRef	2182	Hydrocephalus due to stenosis of aqueduct of Sylvius	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Hydrocephalus%5Ball%5D+AND+X-linked%5Btw%5D
PatRef	104	Leber hereditary optic neuropathy	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=DetailsSearch&Term=optic+atrophy,+hereditary,+leber%5Bmh%5D+OR+(optic+atrophies,+hereditary%5Bmh%5D+(leber+OR+lebers+OR+leber+s%5Btw%5D))
PatRef	664	Ornithine carbamoyltransferase deficiency	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=ornithine+carbamoyltransferase+deficiency+disease%5Bmh%5D+OR+Ornithine+carbamoyltransferase+deficiency%5Bti%5D
PatRef	481	Kennedy disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Kennedy+disease%5BTw%5D+OR+%22spinal+muscular+atrophy%22%5BText+Word%5D+OR+%22muscular+atrophy%2C+spinal%22%5BMeSH+Terms%5D
PatRef	276	Severe combined immunodeficiency T- B+ due to gamma chain deficiency	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=severe+combined+immunodeficiency%5Bmajr%5D+AND+x-chromosome%5Bmajr%5D
PatRef	631	Nonacquired isolated growth hormone deficiency	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%28%28dwarfism%5Btw%5D+OR+Nanism%5Btw%5D%29+AND+growth+hormone%5Bti%5D+AND+deficiency%5Btw%5D%29+OR+Pituitary+dwarfism%5Ball%5D
PatRef	508	Leprechaunism	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Leprechaunism%5Btw%5D+OR+%28hyperinsulin*%5Btw%5D+AND+%28Receptor%2CInsulin/deficiency+OR+%28Insulin+receptor%5Ball%5D+AND+deficiency%5Btw%5D%29%29%29
PatRef	394	Homocystinuria due to cystathionine beta-synthase deficiency	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22homocystinuria%22%5BMeSH+Terms%5D+OR+%28Homocystinuria%5BText+Word%5D+NOT+medline%5Bsb%5D%29
