Name of the table	ORPHA number	Disease label	Type of label (Pat= main name; syn= synonym)
PatAls	644	NARP/MILS syndrome	Pat
PatAls	644	Neuropathy - ataxia - retinitis pigmentosa/Maternally Inherited Leigh Syndrome	Syn
PatAls	637	Acoustic neuroma	Syn
PatAls	637	Acoustic neurinoma	Syn
PatAls	637	Vestibular schwannoma	Syn
PatAls	637	Neurofibromatosis type 2	Pat
PatAls	636	NF 1	Syn
PatAls	636	Neurofibromatosis type 1	Pat
PatAls	636	Von Recklinghausen disease	Syn
PatAls	649	Norrie disease	Pat
PatAls	640	HNPP	Syn
PatAls	640	Microdeletion 17p12	Syn
PatAls	640	Tomaculous neuropathy	Syn
PatAls	640	Hereditary neuropathy with liability to pressure palsies	Pat
PatAls	699	Pearson syndrome	Pat
PatAls	60	Alpha-1 antitrypsin deficiency	Pat
PatAls	524	Li-Fraumeni syndrome	Pat
PatAls	510	Lesch-Nyhan syndrome	Pat
PatAls	510	Hypoxanthine guanine phosphoribosyltransferase (HPRT) complete deficiency	Syn
PatAls	281	Monosomy 5p	Pat
PatAls	281	Deletion 5p	Syn
PatAls	281	Cri du chat syndrome	Syn
PatAls	214	Cystinuria	Pat
PatAls	214	Cystinuria - lysinuria	Syn
PatAls	752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	Pat
PatAls	752	17 ketoreductase deficiency	Syn
PatAls	752	17 ketosteroidreductase deficiency	Syn
PatAls	752	17-beta-hydroxysteroid dehydrogenase 3 deficiency	Syn
PatAls	752	Male pseudohermaphroditism due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	Syn
PatAls	3444	Watson syndrome	Pat
PatAls	3444	Pulmonic stenosis with cafe-au-lait spots	Syn
PatAls	337	FOP	Syn
PatAls	337	Man of stone	Syn
PatAls	337	Myositis ossificans progressiva	Syn
PatAls	337	Fibrodysplasia ossificans progressiva	Pat
PatAls	648	Noonan syndrome	Pat
PatAls	377	Gorlin syndrome	Pat
PatAls	377	Basal cell nevus syndrome	Syn
PatAls	377	Nevoid basal cell carcinoma syndrome	Syn
PatAls	706	Patent arterial duct	Pat
PatAls	706	Patent ductus arteriosus	Syn
PatAls	706	Familial patent arterial duct	Syn
PatAls	706	Persistent patency of the arterial duct	Syn
PatAls	628	Diastrophic dwarfism	Pat
PatAls	628	Diastrophic dysplasia	Syn
PatAls	673	Malaria	Pat
PatAls	681	Westphall disease	Syn
PatAls	681	Hypokalemic periodic paralysis	Pat
PatAls	682	Gamstorp episodic adynamy	Syn
PatAls	682	Hyperkalemic periodic paralysis	Pat
PatAls	800	Schwartz-Jampel syndrome	Pat
PatAls	800	Myotonic chondrodystrophy	Syn
PatAls	3140	Schizophrenia	Pat
PatAls	857	Townes-Brocks syndrome	Pat
PatAls	894	Waardenburg syndrome type 1	Pat
PatAls	895	Waardenburg syndrome type 2	Pat
PatAls	896	Klein-Waardenburg syndrome	Syn
PatAls	896	Waardenburg syndrome type 3	Pat
PatAls	912	Zellweger syndrome	Pat
PatAls	912	Cerebrohepatorenal syndrome	Syn
PatAls	893	WAGR syndrome	Pat
PatAls	893	Deletion 11p13	Syn
PatAls	893	Monosomy 11p13	Syn
PatAls	893	Wilms tumor - aniridia - genitourinary anomalies - intellectual deficit	Syn
PatAls	862	Hereditary essential tremor	Pat
PatAls	2869	PJS	Syn
PatAls	2869	Peutz-Jeghers syndrome	Pat
PatAls	2869	Polyposis, hamartomatous intestinal	Syn
PatAls	2869	Intestinal polyposis - cutaneous pigmentation syndrome	Syn
PatAls	710	ACS 5	Syn
PatAls	710	Pfeiffer syndrome	Pat
PatAls	710	Acrocephalosyndactyly type 5	Syn
PatAls	794	ACS 3	Syn
PatAls	794	Saethre-Chotzen syndrome	Pat
PatAls	794	Acrocephalosyndactyly type 3	Syn
PatAls	774	HHT	Syn
PatAls	774	Rendu-Osler-Weber disease	Pat
PatAls	774	Telangiectasia, hereditary hemorrhagic	Syn
PatAls	107	BOR syndrome	Pat
PatAls	107	Branchiootorenal syndrome	Syn
PatAls	126	Blepharophimosis, types 1 and 2	Syn
PatAls	126	Blepharophimosis - epicanthus inversus - ptosis	Pat
PatAls	192	Coffin-Lowry syndrome	Pat
PatAls	205	Crigler-Najjar syndrome	Pat
PatAls	205	Hyperbilirubinemia unconjugated, hereditary	Syn
PatAls	205	Bilirubin uridinediphosphate glucuronosyltransferase deficiency	Syn
PatAls	201	Cowden syndrome	Pat
PatAls	201	Multiple hamartoma syndrome	Syn
PatAls	207	Crouzon disease	Pat
PatAls	207	Crouzon craniofacial dysostosis	Syn
PatAls	195	Cat-eye syndrome	Pat
PatAls	195	Ocular coloboma - imperforate anus	Syn
PatAls	195	Inversion/duplication, chromosome 22	Syn
PatAls	167	Chediak-Higashi syndrome	Pat
PatAls	14	Acanthocytosis	Syn
PatAls	14	Abetalipoproteinemia	Pat
PatAls	14	Bassen-Kornzweig disease	Syn
PatAls	14	Homozygous familial hypobetalipoproteinemia	Syn
PatAls	52	Alagille syndrome	Pat
PatAls	52	Arteriohepatic dysplasia	Syn
PatAls	52	Allagille-Watson syndrome	Syn
PatAls	52	Bile duct paucity, syndromic form	Syn
PatAls	50	Aicardi syndrome	Pat
PatAls	50	Corpus callosum agenesis of with chorioretinal abnormality	Syn
PatAls	53	Albers-Schonberg osteopetrosis	Pat
PatAls	53	Osteopetrosis autosomal dominant type 2	Syn
PatAls	1646	Chromosome Y deletion	Pat
PatAls	1646	Male sterility due to chromosome Y deletion	Syn
PatAls	1247	Schistosomiasis	Pat
PatAls	112	Bartter syndrome	Pat
PatAls	112	Hypokalemic alkalosis - hypercalciuria	Syn
PatAls	116	Beckwith-Wiedemann syndrome	Pat
PatAls	116	Wiedemann-Beckwith syndrome	Syn
PatAls	116	Exomphalos - macroglossia - gigantism	Syn
PatAls	116	Uniparental disomy, paternal origin, mosaic, chromosome 11	Syn
PatAls	87	ACS 1	Syn
PatAls	87	Apert syndrome	Pat
PatAls	87	Acrocephalosyndactyly type 1	Syn
PatAls	99	ADCA	Syn
PatAls	99	Autosomal dominant cerebellar ataxia	Pat
PatAls	99	Spinocerebellar ataxia, autosomal dominant	Syn
PatAls	97	Episodic ataxia, type 2	Syn
PatAls	97	Ataxia, familial paroxysmal	Pat
PatAls	313	Ichthyosis, lamellar	Pat
PatAls	313	Lamellar ichthyosis, classical form	Syn
PatAls	406	Hypercholesterolemia, familial	Pat
PatAls	406	Hypercholesterolemia due to LDL receptor deficiency	Syn
PatAls	89	Defective apolipoprotein B-100, familial	Pat
PatAls	89	Hypercholesterolemia due to arg3500 mutation of Apo B-100	Syn
PatAls	2442	Purtilo syndrome	Syn
PatAls	2442	X-linked lymphoproliferative disease	Pat
PatAls	555	CD	Syn
PatAls	555	Celiac sprue	Syn
PatAls	555	Celiac disease	Pat
PatAls	555	Coeliac disease	Syn
PatAls	555	Nontropical sprue	Syn
PatAls	555	Idiopathic steatorrhea	Syn
PatAls	555	Gluten-induced enteropathy	Syn
PatAls	555	Gluten-sensitive enteropathy	Syn
PatAls	2443	Mitochondrial disease of nuclear origin	Pat
PatAls	565	Menkes disease	Pat
PatAls	565	Menkes syndrome	Syn
PatAls	565	Kinky hair syndrome	Syn
PatAls	562	McCune-Albright syndrome	Pat
PatAls	562	Sexual precocity, familial, gonadotropin-independent, female-limited	Syn
PatAls	564	Meckel syndrome	Pat
PatAls	564	Meckel-Gruber syndrome	Syn
PatAls	568	MCOPS1	Syn
PatAls	568	Lenz microphthalmia	Syn
PatAls	568	Microphthalmia, Lenz type	Pat
PatAls	568	Syndromic microphthalmia , type 1	Syn
PatAls	540	Familial hemophagocytic lymphohistiocytosis	Pat
PatAls	474	Jeune syndrome	Pat
PatAls	474	Asphyxiating thoracic dystrophy of the newborn	Syn
PatAls	258	MDC1A	Syn
PatAls	258	Congenital muscular dystrophy type 1A	Pat
PatAls	258	Muscular dystrophy, congenital, merosin negative	Syn
PatAls	258	Muscular dystrophy, congenital, due to laminin alpha2 deficiency	Syn
PatAls	289	Mesodermic dysplasia	Syn
PatAls	289	Ellis Van Creveld syndrome	Pat
PatAls	289	Chondroectodermal dysplasia	Syn
PatAls	357	Gilbert syndrome	Pat
PatAls	357	Cholemia, familial	Syn
PatAls	357	Hyperbilirubinemia type 1	Syn
PatAls	861	Treacher-Collins syndrome	Pat
PatAls	861	Franceschetti-Klein syndrome	Syn
PatAls	861	Mandibulofacial dysostosis, without limb anomalies	Syn
PatAls	308	ULD	Syn
PatAls	308	Unverricht-Lundborg disease	Pat
PatAls	308	Epilepsy, progressive myoclonic type 1	Syn
PatAls	1991	Tessier cleft number 1,2	Syn
PatAls	1991	Cleft lip with or without cleft palate	Pat
PatAls	199	Cornelia de Lange syndrome	Pat
PatAls	199	Brachman-de Lange syndrome	Syn
PatAls	2162	HPE	Syn
PatAls	2162	Holoprosencephaly	Pat
PatAls	930	Achalasia, primary	Pat
PatAls	998	Albinism-deafness syndrome	Pat
PatAls	999	Ermine phenotype	Pat
PatAls	999	O'Doherty syndrome	Syn
PatAls	999	Pigmentary disorder with hearing loss	Syn
PatAls	1000	Albinism ocular - late onset sensorineural deafness	Pat
PatAls	55	OCA	Syn
PatAls	55	Oculocutaneous albinism	Pat
PatAls	106	Autism	Pat
PatAls	2771	Bruck syndrome	Pat
PatAls	2771	Osteogenesis imperfecta - congenital joint contractures	Syn
PatAls	1349	Cardiomyopathy - deafness, maternally inherited	Pat
PatAls	1349	Cardiomyopathy - hearing loss, type tRNA-LYS gene mutation	Syn
PatAls	1465	Coffin-Siris syndrome	Pat
PatAls	218	Darier disease	Pat
PatAls	218	Darier-White disease	Syn
PatAls	218	Keratosis follicularis	Syn
PatAls	753	Male pseudohermaphroditism due to 5-alpha-reductase 2 deficiency	Syn
PatAls	753	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency	Pat
PatAls	868	Triose phosphate-isomerase deficiency	Pat
PatAls	1595	Non-distal monosomy 15q	Pat
PatAls	1595	Non-distal deletion 15q	Syn
PatAls	1595	Non-telomeric monosomy 15q	Syn
PatAls	1598	Monosomy 18p	Pat
PatAls	1598	Deletion 18p-de Grouchy syndrome	Syn
PatAls	1599	Non-distal monosomy 18q	Pat
PatAls	1599	Non-distal deletion 18q	Syn
PatAls	1599	Non-telomeric monosomy 18q	Syn
PatAls	1600	Monosomy 18qter	Syn
PatAls	1600	Distal monosomy 18q	Pat
PatAls	1600	Distal deletion 18q	Syn
PatAls	1600	Telomeric deletion 18q	Syn
PatAls	1636	Monosomy 7qter	Syn
PatAls	1636	Distal monosomy 7q36	Pat
PatAls	1636	Distal deletion 7q36	Syn
PatAls	1636	Telomeric deletion 7q36	Syn
PatAls	1637	Monosomy 8pter	Syn
PatAls	1637	Distal monosomy 8p	Pat
PatAls	1637	Distal deletion 8p	Syn
PatAls	1637	Telomeric deletion 8p	Syn
PatAls	1642	Monosomy 9pter	Syn
PatAls	1642	Distal monosomy 9p	Pat
PatAls	1642	Distal deletion 9p	Syn
PatAls	1642	Telomeric deletion 9p	Syn
PatAls	8	Disomy Y	Syn
PatAls	8	Double y	Syn
PatAls	8	47 XYY syndrome	Pat
PatAls	3378	Trisomy 13	Pat
PatAls	3378	Patau syndrome	Syn
PatAls	1707	Trisomy 15qter	Syn
PatAls	1707	Distal trisomy 15q	Pat
PatAls	1707	Distal duplication 15q	Syn
PatAls	1707	Telomeric duplication 15q	Syn
PatAls	3380	Trisomy 18	Pat
PatAls	3380	Edward syndrome	Syn
PatAls	3380	Duplication, chromosome 18	Syn
PatAls	1715	Trisomy 18p	Pat
PatAls	1715	Duplication 18p	Syn
PatAls	1715	Trisomy, chromosome 18p short arm	Syn
PatAls	1716	Trisomy 18qter	Syn
PatAls	1716	Distal trisomy 18q	Pat
PatAls	1716	Distal duplication 18q	Syn
PatAls	1716	Telomeric duplication 18q	Syn
PatAls	1726	Trisomy 22	Pat
PatAls	1727	Trisomy 22q11	Pat
PatAls	1727	Duplication 22q11	Syn
PatAls	1750	Non-distal trisomy 7q	Pat
PatAls	1750	Non-telomeric trisomy 7q	Syn
PatAls	1750	Non-distal duplication 7q	Syn
PatAls	3381	Trisomy 8	Pat
PatAls	236	Trisomy 9p	Pat
PatAls	236	Duplication 9p	Syn
PatAls	236	Trisomy, chromosome 9 short arm	Syn
PatAls	1947	Northern epilepsy	Syn
PatAls	1947	CLN8 disease, northern epilepsy variant	Syn
PatAls	1947	Progressive epilepsy-intellectual deficit, Finnish type	Pat
PatAls	1947	Neuronal ceroid lipofuscinosis 8, Northern epilepsy variant	Syn
PatAls	352	Galactosemia	Pat
PatAls	370	GSD type 6A	Syn
PatAls	370	Glycogen storage disease type 6A	Syn
PatAls	370	GSD due to phosphorylase kinase deficiency	Syn
PatAls	370	Glycogenosis due to phosphorylase kinase deficiency	Syn
PatAls	370	Glycogen storage disease due to phosphorylase kinase deficiency	Pat
PatAls	385	NBIA	Syn
PatAls	385	Hallervorden-Spatz disease	Syn
PatAls	385	Neurodegeneration with brain iron accumulation	Pat
PatAls	464	Incontinentia pigmenti	Pat
PatAls	464	Bloch-Sulzberger syndrome	Syn
PatAls	464	Incontinentia pigmenti type 2	Syn
PatAls	3307	Tetrasomy 18p	Pat
PatAls	3307	Isochromosome 18p	Syn
PatAls	484	47 XXY syndrome	Syn
PatAls	484	Klinefelter syndrome	Pat
PatAls	3084	Mirhosseini-Holmes-Walton syndrome	Pat
PatAls	3084	Retinopathy pigmentary - intellectual deficit	Syn
PatAls	596	Myotubular myopathy	Syn
PatAls	596	X-linked centronuclear myopathy	Pat
PatAls	610	Bethlem myopathy	Pat
PatAls	610	Benign autosomal dominant myopathy	Syn
PatAls	2609	Ubiquinone deficiency	Syn
PatAls	2609	NADH-CoQ reductase deficiency	Pat
PatAls	2609	Complex 1, mitochondrial respiratory chain, deficiency of	Syn
PatAls	626	Giant pigmented hairy nevus	Pat
PatAls	2772	Osteogenesis imperfecta, congenital - microcephaly - cataracts	Pat
PatAls	2773	Al Gazali-Nair syndrome	Syn
PatAls	2773	Osteogenesis imperfecta - retinopathy - seizures - intellectual deficit	Pat
PatAls	11	Pentasomy X	Syn
PatAls	11	49,XXXXX syndrome	Pat
PatAls	773	Refsum disease	Pat
PatAls	773	Phytanic acid oxidase deficiency	Syn
PatAls	773	Heredopathia atactica polyneuritiformis	Syn
PatAls	773	Hereditary motor and sensory neuropathy type 4 (HMSN 4)	Syn
PatAls	3085	Retinitis pigmentosa - intellectual deficit - deafness - hypogenitalism	Pat
PatAls	819	Microdeletion 17p11.2	Syn
PatAls	819	Smith-Magenis syndrome	Pat
PatAls	9	Tetrasomy X	Syn
PatAls	9	48,XXXX syndrome	Pat
PatAls	2614	Onychoosteodysplasia	Syn
PatAls	2614	Nail-patella syndrome	Pat
PatAls	2614	Turner-Kieser syndrome	Syn
PatAls	915	Aarskog-Scott syndrome	Pat
PatAls	915	Faciodigitogenital syndrome	Syn
PatAls	924	Acanthosis nigricans	Pat
PatAls	33	Isovaleric acidemia	Pat
PatAls	33	Isovaleric acid CoA dehydrogenase deficiency	Syn
PatAls	22	4-hydroxybutyricaciduria	Pat
PatAls	22	Succinic semialdehyde deshydrogenase deficiency	Syn
PatAls	29	Mevalonicaciduria	Pat
PatAls	29	Mevalonate kinase deficiency	Syn
PatAls	30	Oroticaciduria	Syn
PatAls	30	Orotic aciduria hereditary	Pat
PatAls	30	Orotidylic decarboxylase deficiency	Syn
