Orphanum	Name	ICD10 Reference
508	Leprechaunism	E11
508	Leprechaunism	E34.3
394	Homocystinuria due to cystathionine beta-synthase deficiency	E72.1
379	Chronic granulomatous disease	D71
16	Blue cone monochromatism	H53.5
181	Christ-Siemens-Touraine syndrome	Q82.4
644	NARP/MILS syndrome	G31.8
637	Neurofibromatosis type 2	Q85.0
636	Neurofibromatosis type 1	Q85.0
649	Norrie disease	Q15.8
640	Hereditary neuropathy with liability to pressure palsies	G60.0
699	Pearson syndrome	D64.0
60	Alpha-1 antitrypsin deficiency	E88.0
524	Li-Fraumeni syndrome	Z80
510	Lesch-Nyhan syndrome	E79.1
281	Monosomy 5p	Q93.4
214	Cystinuria	E72.0
752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	Q56.1
3444	Watson syndrome	Q87.1
337	Fibrodysplasia ossificans progressiva	M61.1
648	Noonan syndrome	Q87.1
377	Gorlin syndrome	D36.9
706	Patent arterial duct	Q25.0
628	Diastrophic dwarfism	Q77.5
673	Malaria	B54
681	Hypokalemic periodic paralysis	G72.3
682	Hyperkalemic periodic paralysis	G72.3
800	Schwartz-Jampel syndrome	G71.1
3140	Schizophrenia	F20.9
857	Townes-Brocks syndrome	Q87.8
894	Waardenburg syndrome type 1	Q87.08
895	Waardenburg syndrome type 2	Q87.08
896	Waardenburg syndrome type 3	Q87.0
912	Zellweger syndrome	Q87.8
893	WAGR syndrome	Q87.8
862	Hereditary essential tremor	G25.0
2869	Peutz-Jeghers syndrome	Q85.8
710	Pfeiffer syndrome	Q87.0
794	Saethre-Chotzen syndrome	Q87.0
774	Rendu-Osler-Weber disease	I78.0
107	BOR syndrome	Q87.8
126	Blepharophimosis - epicanthus inversus - ptosis	Q10.3
192	Coffin-Lowry syndrome	F78.8
205	Crigler-Najjar syndrome	E80.5
201	Cowden syndrome	Q85.9
201	Cowden syndrome	Z80.9
207	Crouzon disease	Q75.1
195	Cat-eye syndrome	Q92.8
167	Chediak-Higashi syndrome	E70.3
14	Abetalipoproteinemia	E78.6
52	Alagille syndrome	Q44.7
50	Aicardi syndrome	Q04.0
53	Albers-Schönberg osteopetrosis	Q78.2
1646	Partial chromosome Y deletion	N46
1247	Schistosomiasis	B65
112	Bartter syndrome	E26.8
116	Beckwith-Wiedemann syndrome	Q87.3
87	Apert syndrome	Q87.0
99	Autosomal dominant cerebellar ataxia	G11.8
97	Familial paroxysmal ataxia	G11.8
313	Lamellar ichthyosis	Q80.2
406	Familial hypercholesterolemia	E78.0
2442	X-linked lymphoproliferative disease	D82.3
555	Celiac disease	K90.0
565	Menkes disease	E83.0
562	McCune-Albright syndrome	Q78.1
564	Meckel syndrome	Q61.9
540	Familial hemophagocytic lymphohistiocytosis	D76.1
474	Jeune syndrome	Q77.2
258	Congenital muscular dystrophy type 1A	G71.2
289	Ellis Van Creveld syndrome	Q77.6
357	Gilbert syndrome	E80.4
861	Treacher-Collins syndrome	Q75.4
308	Unverricht-Lundborg disease	G40.3
1991	Cleft lip with or without cleft palate	Q36
1991	Cleft lip with or without cleft palate	Q37
199	Cornelia de Lange syndrome	Q87.1
2162	Holoprosencephaly	Q04.2
930	Primary achalasia	K22.0
998	Albinism-deafness syndrome	H90.5
999	Ermine phenotype	E70.3
999	Ermine phenotype	H90.5
1000	Ocular albinism - late-onset sensorineural deafness	E70.3
1000	Ocular albinism - late-onset sensorineural deafness	H90.5
137625	Cardiomyopathy-exercise intolerance due to muscle and heart glycogen deficiency	E74.0
55	Oculocutaneous albinism	E70.3
106	Autism	F84.0
2771	Bruck syndrome	Q78.0
1349	Cardiomyopathy - maternally inherited deafness	I42.8
137675	Histiocytoid cardiomyopathy	I42.8
1465	Coffin-Siris syndrome	Q84.6
1465	Coffin-Siris syndrome	Q87.1
218	Darier disease	Q82.8
753	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency	Q56.1
137693	Idiopathic short stature	E34.3
868	Triose phosphate-isomerase deficiency	D55.2
1598	Monosomy 18p	Q93.8
1599	Non-distal monosomy 18q	Q93.8
1637	Distal monosomy 8p	Q93.8
1642	Distal monosomy 9p	Q93.8
8	47,XYY syndrome	Q98.5
3378	Trisomy 13	Q91.4
3378	Trisomy 13	Q91.5
3378	Trisomy 13	Q91.6
3378	Trisomy 13	Q91.7
1707	Distal trisomy 15q	Q92.8
3380	Trisomy 18	Q91.0
3380	Trisomy 18	Q91.2
3380	Trisomy 18	Q91.3
1715	Trisomy 18p	Q92.8
1716	Distal trisomy 18q	Q92.8
1726	Trisomy 22	Q92.8
1727	Trisomy 22q11	Q92.8
1750	Non-distal trisomy 7q	Q92.8
3381	Trisomy 8	Q92.8
236	Trisomy 9p	Q92.8
137871	Laminopathy type Decaudain-Vigouroux	E78.4
137871	Laminopathy type Decaudain-Vigouroux	E13
1947	Progressive epilepsy - intellectual deficit, Finnish type	E75.4
352	Galactosemia	E74.2
137898	Leukoencephalopathy with brain stem and spinal cord involvement - lactate elevation	E75.2
370	Glycogen storage disease due to phosphorylase kinase deficiency	E74.0
385	Neurodegeneration with brain iron accumulation	G23.0
464	Incontinentia pigmenti	Q82.3
3307	Tetrasomy 18p	Q99.8
484	Klinefelter syndrome	Q98.0
484	Klinefelter syndrome	Q98.1
484	Klinefelter syndrome	Q98.2
484	Klinefelter syndrome	Q98.4
596	X-linked centronuclear myopathy	G71.2
610	Bethlem myopathy	G71.0
2609	NADH-CoQ reductase deficiency	E88.8
626	Giant pigmented hairy nevus	D22
2772	Congenital osteogenesis imperfecta - microcephaly - cataracts	Q78.0
773	Refsum disease	G60.1
3085	Retinitis pigmentosa - intellectual deficit - deafness - hypogenitalism	H35.5
3085	Retinitis pigmentosa - intellectual deficit - deafness - hypogenitalism	H90.5
819	Smith-Magenis syndrome	Q87.8
9	Tetrasomy X	Q99.8
2614	Nail-patella syndrome	Q87.22
915	Aarskog-Scott syndrome	Q87.1
924	Acanthosis nigricans	L83
33	Isovaleric acidemia	E71.1
22	4-hydroxybutyricaciduria	E72.8
29	Mevalonic aciduria	E71.3
30	Hereditary orotic aciduria	D53.0
36	Acrocallosal syndrome, Schinzel type	Q04.0
245	Acrofacial dysostosis, Nager type	Q87.0
963	Acromegaly	E22.0
44	Neonatal adrenoleukodystrophy	E71.3
56	Alkaptonuria	E70.2
1046	Lethal hemolytic anemia - genital anomalies	D58.8
90	Argininemia	E72.2
1135	Arhinia - choanal atresia - microphthalmia	Q87.8
1143	Neurogenic arthrogryposis multiplex congenita	Q74.3
1146	Digitotalar dysmorphism	Q74.3
1147	Sheldon-Hall syndrome	Q74.3
1152	Arthrogryposis multiplex congenita - lissencephaly	Q04.3
1152	Arthrogryposis multiplex congenita - lissencephaly	Q74.3
1154	Distal arthrogryposis type 5	Q74.3
1155	Arthrogryposis due to muscular dystrophy	G71.2
1162	Asperger syndrome	F84.5
1232	Barrett esophagus	K22.7
124	Blackfan-Diamond disease	D61.0
125	Bloom syndrome	Q87.1
125	Bloom syndrome	Q99.8
1310	Caffey disease	M89.8
1334	Chronic mucocutaneous candidiasis	B37.2
1369	Cataract cardiomyopathy	Q87.8
1414	Cholestasis - lymphedema	K83.1
1414	Cholestasis - lymphedema	Q82.0
1442	Ring chromosome 18	Q99.8
1452	Cleidocranial dysplasia	Q74.0
1455	Autosomal dominant coarctation of aorta	Q25.1
193	Cohen syndrome	Q87.8
1488	Cooper-Jabs syndrome	Q89.7
200	Isolated corpus callosum agenesis	Q04.0
1496	Corpus callosum agenesis - neuronopathy	Q04.0
1538	Craniosynostosis - Dandy-Walker - hydrocephalus	Q03.1
1538	Craniosynostosis - Dandy-Walker - hydrocephalus	Q75.0
1556	Cutis marmorata telangiectatica congenita	Q82.8
1564	Dandy Walker - facial hemangioma	Q03.1
217	Isolated Dandy-Walker malformation	Q03.1
226	Dihydropteridine reductase deficiency	E70.1
45	Adenosine monophosphate deaminase deficiency	E79.8
45	Adenosine monophosphate deaminase deficiency	M79.1
23	Argininosuccinic aciduria	E72.2
147	Carbamoylphosphate synthetase deficiency	E72.2
148	Multiple carboxylase deficiency	E53.8
408	Hyperglycerolemia	E71.3
395	Homocystinuria due to methylenetetrahydrofolate reductase deficiency	E72.1
765	Pyruvate dehydrogenase deficiency	E74.4
833	Encephalopathy due to sulfite oxidase deficiency	E72.1
1672	Diencephalic syndrome	C72.8
235	Dubowitz syndrome	Q87.1
239	Dyggve-Melchior-Clausen disease	Q87.1
1764	Familial dysautonomia	G90.1
1770	Gonadal dysgenesis, XY type - associated anomalies	Q99.1
1775	Dyskeratosis congenita	D84.8
246	Postaxial acrofacial dysostosis	Q75.4
1851	Multicystic renal dysplasia	Q61.4
255	Dopa-responsive dystonia	G24.8
1880	Ebstein malformation	Q22.5
1885	Isolated ectopia lentis	Q12.1
1915	Fetal alcohol syndrome	Q86.0
295	Fetal parvovirus syndrome	B97.6
295	Fetal parvovirus syndrome	P00.2
1931	Frontal encephalocele	Q01.0
2020	Congenital fiber-type disproportion myopathy	G71.2
2053	Freeman-Sheldon syndrome	Q87.0
351	Galactosialidosis	E77.1
374	Goldenhar syndrome	Q87.0
139396	X-linked cerebral adrenoleukodystrophy	E71.3
2113	Congenital hypothalamic hamartoma syndrome	D33.0
139399	Adrenomyeloneuropathy	E71.3
2116	Hartnup syndrome	E72.0
2118	Hawkinsinuria	E70.2
139406	Encephalopathy due to prosaposin deficiency	E75.2
446	Neonatal hemochromatosis	E83.1
139411	Carney triad	D44.8
2135	Hennekam-Beemer syndrome	Q87.0
139417	Acute transverse myelitis	G37.3
2140	Congenital diaphragmatic hernia	Q79.0
139420	Secondary acute transverse myelitis	G37.3
2185	Autosomal recessive hydrocephalus	Q03.8
139423	Idiopathic acute transverse myelitis	G37.3
417	Neonatal severe primary hyperparathyroidism	E21.0
139436	Multicentric reticulohistiocytosis	D76.3
2248	Hypoplastic left heart syndrome	Q23.4
2253	Foveal hypoplasia - presenile cataract	H26.0
139441	Hypomyelination with atrophy of basal ganglia and cerebellum	E75.2
2270	Ichthyosis congenita - biliary atresia	Q87.8
139444	Leukoencephalopathy with bilateral anterior temporal lobe cysts	E75.2
139447	Progressive cavitating leukoencephalopathy	E75.2
2300	Multiple intestinal atresia	Q43.8
469	Fructose intolerance	E74.1
2308	Jacobsen syndrome	Q93.5
2318	Joubert syndrome with oculorenal defect	Q87.8
477	KID syndrome	H90.5
477	KID syndrome	Q80.8
2343	Isolated cloverleaf skull syndrome	Q75.0
2346	Angio-osteohypertrophic syndrome	D18.0
2346	Angio-osteohypertrophic syndrome	M85.8
139480	Autosomal recessive spastic paraplegia type 39	G11.4
139485	Autosomal recessive ataxia due to ubiquinone deficiency	G11.1
139498	Hemochromatosis type 1	E83.1
502	Langer-Giedion syndrome	Q87.8
139507	African iron overload	E83.1
2370	Larsen-like osseous dysplasia - short stature	Q77.8
139512	Neuropathy with hearing impairment	G60.0
139512	Neuropathy with hearing impairment	H90.5
139515	Charcot-Marie-Tooth disease type 4J	G60.0
2373	Congenital laryngomalacia	Q31.5
139518	Distal hereditary motor neuropathy type 1	G12.2
139525	Distal hereditary motor neuropathy type 2	G12.2
2377	Laurence-Moon syndrome	Q87.8
139536	Distal hereditary motor neuropathy type 5	G12.2
506	Leigh syndrome	G31.8
139547	Distal hereditary motor neuropathy type 3 and type 4	G12.2
2414	Congenital pulmonary lymphangiectasia	D18.1
2414	Congenital pulmonary lymphangiectasia	Q34.8
139552	Distal hereditary motor neuropathy, Jerash type	G12.2
139557	X-linked distal spinal muscular atrophy	G12.2
2430	Congenital macroglossia	Q38.2
139564	Hereditary sensory and autonomic neuropathy type 1B	G60.8
2431	Macrogyria - pseudobulbar palsy	Q04.8
1505	Short rib-polydactyly syndrome	Q77.2
139573	Hereditary sensory and autonomic neuropathy with deafness and global delay	G60.8
139573	Hereditary sensory and autonomic neuropathy with deafness and global delay	H90.5
139578	Hereditary sensory and autonomic neuropathy with spastic paraplegia	G60.8
139578	Hereditary sensory and autonomic neuropathy with spastic paraplegia	G11.4
139583	X-linked hereditary sensory and autonomic neuropathy with deafness	G60.8
139583	X-linked hereditary sensory and autonomic neuropathy with deafness	H90.5
139589	Distal hereditary motor neuropathy type 7	G12.2
560	Marshall syndrome	Q87.0
2466	MASA syndrome	G11.4
570	Moebius syndrome	Q87.0
587	Muir-Torre syndrome	D23.9
606	Proximal myotonic myopathy	G71.1
2635	Metatropic dwarfism	Q77.8
2655	Thanatophoric dwarfism	Q77.1
635	Neuroblastoma	C47
2612	Linear nevus sebaceus syndrome	Q85.8
660	Omphalocele	Q79.2
2744	Progressive ophthalmoplegia - external scoliosis	H49.4
2746	Opsismodysplasia	Q77.8
2785	Osteopetrosis with renal tubular acidosis	Q78.2
2801	Juvenile Paget's disease	M88.9
884	Tetrasomy 12p	Q99.8
705	Pendred syndrome	E07.1
2870	Peyronie syndrome	N48.6
717	Pheochromocytoma and secreting paraganglioma	C74.1
717	Pheochromocytoma and secreting paraganglioma	C75.5
717	Pheochromocytoma and secreting paraganglioma	D35.6
717	Pheochromocytoma and secreting paraganglioma	D35.0
2883	Pick disease of brain	F02.0
2883	Pick disease of brain	G31.0
718	Isolated Pierre Robin syndrome	Q87.0
2901	Parsonage-Turner syndrome	G54.5
2903	Familial spontaneous pneumothorax	J93.1
744	Proteus syndrome	Q87.3
2970	Prune Belly syndrome	Q79.4
2971	Peroxisomal acyl-CoA oxidase deficiency	E71.3
2981	Pseudo-Zellweger syndrome	E71.3
2982	46,XX disorder of sex development	Q56.2
2983	Disorder of sex development - intellectual deficit	Q56.3
763	Pycnodysostosis	Q78.8
3071	Costello syndrome	Q87.8
290	Congenital Rubella syndrome	P35.0
834	Free sialic acid storage disease	E88.8
140286	Secondary hypoparathyroidism due to impaired parathormon secretion	E20.8
799	Schizencephaly	Q04.6
140450	Hereditary motor and sensory neuropathy	G60.0
140453	Autosomal dominant hereditary demyelinating motor and sensory neuropathy	G60.0
813	Silver-Russell syndrome	Q87.1
140456	Autosomal dominant hereditary axonal motor and sensory neuropathy	G60.0
3169	Sirenomelia	Q87.2
140459	Autosomal recessive hereditary demyelinating motor and sensory neuropathy	G60.0
816	Sjögren-Larsson syndrome	E71.3
140462	X-linked recessive hereditary axonal motor and sensory neuropathy	G60.0
140465	Autosomal dominant hereditary distal motor neuropathy	G12.1
821	Sotos syndrome	Q87.3
140468	Autosomal recessive hereditary distal motor neuropathy	G12.2
140471	Hereditary sensory and autonomic neuropathy	G60.8
3204	Stormorken-Sjaastad-Langslet syndrome	D69.8
140474	Autosomal dominant hereditary sensory and autonomic neuropathy	G60.8
3205	Sturge-Weber syndrome	Q85.8
140477	Autosomal recessive hereditary sensory and autonomic neuropathy	G60.8
140497	Iron overload disease	E83.1
3320	Thrombocytopenia - absent radius	D49.8
858	Congenital toxoplasmosis	P37.1
3346	Tracheal agenesis	Q32.1
1245	BIDS syndrome	E72.1
1245	BIDS syndrome	Q82.8
3390	Proximal tubulopathy - diabetes mellitus - cerebellar ataxia	Q87.8
291	Fetal varicella syndrome	P35.8
887	VATER association	Q87.2
3447	Weaver syndrome	Q87.3
909	Cerebrotendinous xanthomatosis	E75.5
1422	Chondrodysplasia - disorder of sex development	Q87.1
612	Potassium-aggravated myotonia	G71.1
140905	Hyperlipidemia due to hepatic triglyceride lipase deficiency	E78.4
716	Phenylketonuria	E70.0
716	Phenylketonuria	E70.1
287	Ehlers-Danlos syndrome, classic type	Q79.6
140922	Autosomal recessive limb-girdle muscular dystrophy type 2J	G71.0
140927	Benign familial neonatal-infantile seizures	G40.3
140941	Short stature due to primary acid-labile subunit deficiency	E34.3
140957	Autosomal dominant macrothrombocytopenia with abnormal proplatelet formation	D69.4
54	X-linked recessive ocular albinism	E70.3
63	Alport syndrome	Q87.8
1020	Early-onset autosomal dominant Alzheimer disease	G30.0
69	Amyloidosis	E85
70	Proximal spinal muscular atrophy	G12.0
70	Proximal spinal muscular atrophy	G12.1
84	Fanconi anemia	D61.0
154	Familial isolated dilated cardiomyopathy	I42.0
155	Familial isolated hypertrophic cardiomyopathy	I42.2
166	Charcot-Marie-Tooth disease	G60.0
191	Cockayne syndrome	Q87.1
304	Epidermolytic epidermolysis bullosa	Q81.0
354	GM1 gangliosidosis	E75.1
355	Gaucher disease	E75.2
364	Glycogenosis due to glucose-6-phosphatase deficiency	E74.0
448	Hemophilia	D66
448	Hemophilia	D67
388	Hirschsprung disease	Q43.1
418	Congenital adrenal hyperplasia	E25.0
423	Malignant hyperthermia	T88.3
216	Neuronal ceroid lipofuscinosis	E75.4
581	Mucopolysaccharidosis type 3	E76.2
666	Osteogenesis imperfecta	Q78.0
685	Familial spastic paraplegia	G11.4
702	Pelizaeus-Merzbacher disease	E75.2
738	Porphyria	E80
768	Familial long QT syndrome	I45.8
791	Retinitis pigmentosa	H35.5
805	Tuberous sclerosis	Q85.1
886	Usher syndrome	H35.5
3440	Waardenburg syndrome	Q87.8
270	Oculopharyngeal muscular dystrophy	G71.0
244	Primary ciliary dyskinesia	J98.0
589	Myasthenia gravis	G70.0
362	Glucose-6-phosphate-dehydrogenase deficiency	D55.0
760	Purine nucleoside phosphorylase deficiency	D81.5
3435	Vitiligo	L80
3137	Alpha-N-acetylgalactosaminidase deficiency	E77.1
348	Fructose-1,6-bisphosphatase deficiency	E74.1
715	Muscular phosphorylase kinase deficiency	E74.0
62	Autosomal recessive limb-girdle muscular dystrophy type 2D	G71.0
611	Sporadic inclusion body myositis	M60.8
204	Creutzfeldt-Jakob disease	A81.0
598	Multiminicore myopathy	G71.2
732	Polymyositis	M33.2
221	Dermatomyositis	M33.0
221	Dermatomyositis	M33.1
117	Behcet disease	M35.2
3467	Xanthinuria	E79.8
511	Maple syrup urine disease	E71.0
26	Methylmalonic acidemia - homocystinuria	E72.1
32	Glutathione synthetase deficiency	D55.1
134	Ketoacidosis due to betaketothiolase deficiency	E71.3
984	Pulmonary agenesis	Q33.3
156159	Pure dystonia	G24.1
1163	Aspergillosis	B44
92	Juvenile idiopathic arthritis	M08
1201	Atresia of small intestine	Q41
1202	Larynx atresia	Q31.8
1199	Esophageal atresia	Q39.0
1199	Esophageal atresia	Q39.1
1304	Brucellosis	A23
173	Cholera	A00
1428	Familial chondromalacia patellae	M22.4
322	Exstrophy-epispadias complex	Q64.0
322	Exstrophy-epispadias complex	Q64.1
2368	Gastroschisis	Q79.3
2512	Primary autosomal recessive microcephaly	Q02
795	Salmonellosis	A01
795	Salmonellosis	A02
797	Sarcoidosis	D86
57	Aldolase A deficiency	E74.0
713	Phosphoglycerate kinase 1 deficiency	D55.2
755	Leydig cell hypoplasia	Q56.1
2334	Hereditary keratitis	H16.8
249	Fibrous dysplasia of bone	Q78.1
1164	Allergic bronchopulmonary aspergillosis	B44
183	Churg-Strauss syndrome	M30.1
375	Goodpasture syndrome	M31.0
2131	Alternating hemiplegia of childhood	G98
761	Henoch-Schoenlein purpura	D69.0
509	Leptospirosis	A27
2406	Locked-in syndrome	G83.8
2420	Primary pulmonary lymphoma	C85.9
157215	Hypophosphatemic rickets with hypercalciuria	E83.3
727	Microscopic polyangiitis	M31.8
810	Shigellosis	A03
157713	Congenital or early infantile CACH syndrome	E75.2
3165	Eosinophilic fasciitis	M35.4
3185	Stein-Leventhal syndrome	E28.2
157716	Late infantile CACH syndrome	E75.2
157719	Juvenile or adult CACH syndrome	E75.2
863	Trichinellosis	B75
900	Wegener granulomatosis	M31.3
442	Congenital hypothyroidism	E00
442	Congenital hypothyroidism	E03.0
442	Congenital hypothyroidism	E03.1
43	X-linked adrenoleukodystrophy	E71.3
187	Citrullinemia	E72.2
46	Adenylosuccinate lyase deficiency	E79.8
2882	Sitosterolemia	E78.0
3166	Sialuria, French type	E88.8
157835	Paroxysmal hemicrania	G44.0
415	Triple H syndrome	E72.4
157843	Trigeminal autonomic cephalalgia	G44.8
157846	Neuroferritinopathy	G23.0
13	6-pyruvoyl-tetrahydropterin synthase deficiency	E70.1
157850	Pantothenate-kinase-associated neurodegeneration	G23.0
3129	Sarcosinemia	E72.5
157855	HARP syndrome	G23.0
1675	Dihydropyrimidine dehydrogenase deficiency	E79.8
976	2,8 dihydroxyadenine urolithiasis	E79.8
17	Congenital lactic acidosis	E87.2
2134	Atypical hemolytic uremic syndrome	D58.8
2416	Congenital lymphedema	Q82.0
157970	Distal asymmetrical inflammatory myopathy of the upper limbs	G72.4
2494	Menetrier's disease	K29.6
157973	Congenital muscular dystrophy due to lamine A/C deficiency	G71.2
171	Primary sclerosing cholangitis	K83.0
3002	Immune thrombocytopenic purpura	D69.3
157991	Generalized eruptive histiocytosis	D76.3
2102	GTP cyclohydrolase I deficiency	E70.1
2102	GTP cyclohydrolase I deficiency	E79.8
157997	Benign cephalic histiocytosis	D76.3
158000	Juvenile xanthogranuloma	D76.3
2331	Kawasaki disease	M30.3
158003	Xanthoma disseminatum	D76.3
3452	Whipple disease	K90.8
3452	Whipple disease	M14.8
158008	Papular xanthoma	D76.3
1983	Chronic fatigue syndrome	G93.3
158011	Necrobiotic xanthogranuloma	D76.3
1249	Binswanger disease	I67.3
1531	Craniosynostosis	Q75.0
158014	Sinus histiocytosis with massive lymphadenopathy	D76.3
158019	Indeterminate cell histiocytosis	D76.3
926	Acatalasemia	E80.3
158022	Progressive nodular histiocytosis	D76.3
1195	Atransferrinemia	D50.8
158025	Hereditary progressive mucinous histiocytosis	D76.3
274	Bernard-Soulier syndrome	D69.1
158029	Sea-blue histiocytosis	D76.3
1928	Congenital lobar emphysema	Q32.4
293	Congenital herpes virus infection	P35.2
234	Dubin-Johnson syndrome	E80.6
3287	Takayasu arteritis	M31.4
704	Pemphigus vulgaris	L10.0
356	Gerstmann-Straussler-Scheinker syndrome	A81.8
466	Fatal familial insomnia	A81.8
3463	Wolfram syndrome	E10.7
3463	Wolfram syndrome	H48.0
1549	Cryptosporidiosis	A07.2
549	Legionellosis	A48.1
98	Spastic ataxia, Charlevoix-Saguenay type	G11.1
1209	Tricuspid atresia	Q22.4
1478	Interauricular communication	Q21.1
1480	Ventricular septal defect	Q21.0
3303	Tetralogy of Fallot	Q21.3
486	Autosomal dominant severe congenital neutropenia	D70
730	Autosomal dominant polycystic kidney disease	Q61.2
828	Stickler syndrome	Q87.8
1177	Harding ataxia	G11.1
1431	Paroxysmal dyskinesia	G25.5
1482	Gonococcal conjonctivitis	A54.3
1482	Gonococcal conjonctivitis	H13.1
330	Congenital factor XII deficiency	D68.2
284	Alveolar echinococcosis	B67.5
1959	Evans syndrome	D69.3
2070	Eosinophilic gastroenteritis	K52.8
2103	Guillain-Barré syndrome	G61.0
449	Hepatoblastoma	C22.2
2177	Hydranencephaly	Q04.3
2312	Transient familial neonatal hyperbilirubinemia	P59.3
2314	Autosomal dominant hyper IgE syndrome	D82.4
2372	Laryngocele	Q31.3
2380	Legg-Calve-Perthes disease	M91.1
533	Listeriosis	A32
677	Pancreatoblastoma	C25.1
2810	Idiopathic facial palsy	G51.0
683	Progressive supranuclear palsy	G23.1
2929	Juvenile gastrointestinal polyposis	D12.6
3198	Stiff-man syndrome	G25.8
850	May-Hegglin thrombocytopenia	D69.4
855	Hashimoto struma	E06.3
654	Nephroblastoma	C64
646	Niemann-Pick disease type C	E75.2
131	Budd-Chiari syndrome	I82.0
2587	Myeloperoxidase deficiency	E80.3
2764	Osteochondritis dissecans	M39.2
1489	Whooping cough	A37
2897	Pityriasis rubra pilaris	L44.0
1267	Botulism	A05.1
1679	Diphtheria	A36
3389	Tuberculosis	A15-A19
3299	Tetanus	A35
770	Rabies	A82
3386	American trypanosomiasis	B57
267	Autosomal recessive limb girdle muscular dystrophy type 2A	G71.0
1329	Complete atrioventricular canal	Q21.2
582	Mucopolysaccharidosis type 4	E76.2
2137	Chronic autoimmune hepatitis	K75.4
186	Primary biliary cirrhosis	K74.3
